GeneName,VLDA,VQDA,penLDA,NSC,NaiveBayesKernel,VNPDA
A2M (2370438),0,0,1,1,0,1
AAAS (60689),0,0,0,0,0,0
AACS (1580504),0,0,1,0,0,0
AADACL1 (7210327),0,0,1,0,0,0
AADACL1 (7650020),0,0,1,1,0,1
AADAT (6270181),0,0,0,0,0,0
AAK1 (1170332),0,0,1,0,0,0
AAMP (4610048),0,0,0,0,0,0
AARS (290603),0,0,0,0,0,0
AARS2 (4560681),0,0,1,0,0,0
AARSD1 (60154),0,0,1,1,0,0
AASDH (4150561),0,0,0,0,0,0
AASDHPPT (6060767),0,0,0,0,0,0
AASDHPPT (7040717),0,0,0,0,0,0
AASS (60280),0,0,0,0,0,0
AASS (1500465),0,0,0,0,0,0
AATF (6020372),0,0,0,0,0,0
ABCA1 (4060358),0,0,0,0,0,0
ABCA3 (430402),0,0,0,0,0,0
ABCA7 (2570100),0,0,0,0,0,0
ABCA8 (2710392),0,0,1,0,0,0
ABCB10 (4810048),0,0,0,0,0,0
ABCB6 (2810367),0,0,1,1,1,1
ABCB7 (5700286),0,0,0,0,0,0
ABCB9 (5290598),0,0,0,0,0,0
ABCB9 (6900241),0,0,0,0,0,0
ABCC10 (650646),0,0,1,1,0,0
ABCC3 (270615),0,0,1,1,1,0
ABCC4 (2450201),0,0,0,0,0,0
ABCC4 (6110181),0,0,0,0,0,0
ABCC5 (6580553),0,0,0,0,0,0
ABCC5 (7610050),0,0,0,0,0,0
ABCD1 (4890609),0,0,0,0,0,0
ABCD3 (1580736),0,0,0,0,0,0
ABCE1 (1090543),0,0,0,0,0,0
ABCE1 (5310152),0,0,0,0,0,0
ABCF1 (2190273),0,0,0,0,0,0
ABCF1 (7380113),0,0,0,0,0,0
ABCF2 (5420142),0,0,0,0,0,0
ABCF2 (7100039),0,0,0,0,0,0
ABCF3 (4560689),0,0,0,0,0,0
ABCG1 (460593),0,0,1,1,1,1
ABCG1 (5860377),0,0,0,0,0,0
ABCG1 (6060377),0,0,0,0,0,0
ABHD10 (1300328),0,0,0,0,0,0
ABHD11 (6110592),0,0,0,0,0,0
ABHD12 (2710615),0,0,0,0,0,0
ABHD12 (7100615),0,0,0,0,0,0
ABHD12 (7610382),0,0,0,0,0,0
ABHD14A (1430360),0,0,0,0,0,0
ABHD14B (150064),0,0,0,0,0,0
ABHD2 (2970201),0,0,1,0,0,0
ABHD3 (5050241),0,0,1,0,0,0
ABHD4 (3120014),0,0,0,0,0,0
